album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
2y4zMbauYhdUNHYzyMI79j,Back To School 2007,compilation,Various Artists,2007,2007-07-23,https://i.scdn.co/image/ab67616d0000b27300dc5a6637d1656f6c62d797,18,"EE,FI,LT,LV,TW",5,spotify:album:2y4zMbauYhdUNHYzyMI79j
2PlQlO5OoupZAFNqN7PMl9,All I Need,single,Within Temptation,2007,2007-10-15,https://i.scdn.co/image/ab67616d0000b273f34551428b8f413050e19030,1,MT,1,spotify:album:2PlQlO5OoupZAFNqN7PMl9
6nRzWxLGZUEGCwZZoFJxaG,All I Need,single,Within Temptation,2007,2007-11-02,https://i.scdn.co/image/ab67616d0000b273cd955647e00a10b04c24bb22,5,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76,spotify:album:6nRzWxLGZUEGCwZZoFJxaG
32ROP0fhFZxRS91q7C2mQU,The Heart Of Everything,album,Within Temptation,2007,2007-11-09,https://i.scdn.co/image/ab67616d0000b2731a1286f276e7390de7c30cbd,16,"AD,AE,BE,BG,BH,CY,CZ,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HU,IE,IL,IS,IT,JO,KW,LB,LT,LU,LV,MA,MC,MT,NL,NO,OM,PL,PS,PT,QA,RO,SA,SE,SK,TN,TR,ZA",44,spotify:album:32ROP0fhFZxRS91q7C2mQU
0bayuroJvQCkBAwjHdfTqT,All I Need,single,Within Temptation,2007,2007-11-09,https://i.scdn.co/image/ab67616d0000b27325cd105cada4e1de28497743,3,CA,1,spotify:album:0bayuroJvQCkBAwjHdfTqT
65HoTbvF4TyY4eOVQO8LSt,All I Need,single,Within Temptation,2007,2007-11-12,https://i.scdn.co/image/ab67616d0000b273df7c4d17df7450407b99408f,2,"AD,AE,BH,DK,DZ,EE,EG,FI,FR,IS,JO,KW,LB,LT,LV,MA,MC,OM,PS,PT,QA,SA,TN",23,spotify:album:65HoTbvF4TyY4eOVQO8LSt
2GTmSfqtecxtA2FYSDCXIf,Forgiven,single,Within Temptation,2008,2008-09-12,https://i.scdn.co/image/ab67616d0000b2735f43971e0cac3378a7bf69b2,2,"AT,DE",2,spotify:album:2GTmSfqtecxtA2FYSDCXIf
2d2yosIQq9wYXDC7fpx8od,Forgiven,single,Within Temptation,2008,2008-09-19,https://i.scdn.co/image/ab67616d0000b273e5280c4d6f7ae088f02c60b7,5,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:2d2yosIQq9wYXDC7fpx8od
3nWooA1z67HzBBlscfnHDC,Black Symphony,album,Within Temptation,2008,2008-09-19,https://i.scdn.co/image/ab67616d0000b273308c0a4bb55ad64a4406f00e,23,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3nWooA1z67HzBBlscfnHDC
7dUjOXgcdwmtKS6lThaeYe,Forgiven: Famous 5,single,Within Temptation,2008,2008-10-10,https://i.scdn.co/image/ab67616d0000b27322a938f4f52e767d28394c45,5,"AR,AT,AU,BO,BR,CH,CL,CO,CR,DE,DO,EC,EE,FI,GT,HK,HN,ID,IN,LI,LT,LV,MX,MY,NI,NZ,PA,PE,PH,PY,SG,SV,TH,TW,UY,VN",36,spotify:album:7dUjOXgcdwmtKS6lThaeYe
