album_name,album_release_date,album_release_year,track_id,track_name,track_duration,track_popularity,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Open Door,2006-01-01,2006,3DxKCst1JPt8qw7soauFXc,lose control,290000,44,,0.308,0.726,8,-6.547,0,0.0608,0.0966,0.0134,0.102,0.161,90.126
The Open Door,2006-01-01,2006,2LlCbNQnkIRIc2ssMgUZsV,the only one,280200,44,,0.461,0.789,5,-5.786,0,0.0528,0.00621,5.17e-06,0.508,0.349,147.925
The Open Door,2006-01-01,2006,3m8zVJ3n1mWv1SfovpmKHr,your star,283266,43,,0.48,0.706,7,-7.445,0,0.0391,0.159,0.000538,0.262,0.194,93.478
The Open Door,2006-01-01,2006,4iDQezFTnOwgnrPYiqQ6TP,all that i am living for,228706,49,,0.514,0.809,3,-4.396,0,0.0617,0.0121,0.0,0.0763,0.385,136.881
The Open Door,2006-01-01,2006,0eHxqgbpr2ptXQtw8Ab3ve,good enough,331360,52,,0.39,0.208,0,-11.402,1,0.035,0.913,0.000348,0.124,0.0546,114.838
Anywhere But Home (Live),2004-01-01,2004,4CJGuGDU0Uf3Z9amdY5bji,"haunted   live from le zénith,france/2004",244946,33,,0.146,0.935,4,-7.036,0,0.283,0.00823,0.201,0.733,0.0875,74.489
Anywhere But Home (Live),2004-01-01,2004,3zOJLR1Y7vhdoC9GdQZSkC,"going under   live from le zénith,france/2004",237386,34,,0.47,0.943,11,-5.042,0,0.0743,0.00888,0.553,0.976,0.333,87.522
Anywhere But Home (Live),2004-01-01,2004,75TjR409MNOJDUT0R80Lyw,"taking over me   live from le zénith,france/2004",237266,32,,0.342,0.914,7,-6.22,0,0.0887,0.0265,0.025,0.962,0.24,179.795
Anywhere But Home (Live),2004-01-01,2004,49JdsVsUblQxCuw6iov2Op,"everybody's fool   live from le zénith,france/2004",220186,32,,0.316,0.877,1,-7.277,0,0.0671,0.00153,0.656,0.954,0.164,94.804
Anywhere But Home (Live),2004-01-01,2004,3FJQNtWFNNUlF2pi3razfk,"thoughtless   live from le zénith,france/2004",277106,45,,0.431,0.823,9,-6.483,1,0.0472,0.00102,0.0872,0.769,0.0778,161.938
Anywhere But Home (Live),2004-01-01,2004,0kOMliPZUwL4GEAaSdr0j2,"my last breath   live from le zénith,france/2004",233040,32,,0.38,0.79,6,-7.137,0,0.0366,8.35e-05,0.34,0.981,0.156,176.01
Anywhere But Home (Live),2004-01-01,2004,74zhOvR4FthxQgFeRP0bVF,"farther away   live from le zénith,france/2004",302626,32,,0.462,0.888,4,-6.0,0,0.0573,2.65e-05,0.754,0.771,0.193,169.936
Anywhere But Home (Live),2004-01-01,2004,2zn4moJkEmIVfV83iye9t5,"breathe no more   live from le zénith,france/2004",213853,34,,0.562,0.431,11,-10.67,0,0.0307,0.323,0.0185,0.955,0.167,108.012
Anywhere But Home (Live),2004-01-01,2004,0umOKmb2xrgD9yutQHbCXz,"my immortal   live from le zénith,france/2004",278240,42,,0.209,0.408,9,-11.725,1,0.0502,0.522,0.000949,0.938,0.0713,149.716
Anywhere But Home (Live),2004-01-01,2004,1AjCrY9w0edn2jAGEAkzJ7,"bring me to life   live from le zénith,france/2004",283760,41,,0.277,0.812,4,-7.24,0,0.0657,0.024,0.0493,0.64,0.0396,94.285
Anywhere But Home (Live),2004-01-01,2004,2IR6jzSjOjp8X3Ib4SYDI8,"tourniquet   live from le zénith,france/2004",257506,32,,0.48,0.883,4,-6.358,0,0.0529,0.000534,0.466,0.545,0.153,102.04
Anywhere But Home (Live),2004-01-01,2004,0GCjCEPkEuuzFn3izkuONK,"imaginary   live from le zénith,france/2004",325280,30,,0.339,0.887,4,-7.551,0,0.092,0.000901,0.791,0.916,0.133,150.037
Anywhere But Home (Live),2004-01-01,2004,5xnziMgEllaD1ms67miiTj,"whisper   live from le zénith,france/2004",343600,30,,0.469,0.82,2,-7.091,1,0.0402,0.00117,0.608,0.969,0.386,87.473
Anywhere But Home (Live),2004-01-01,2004,1kvuT0SqjPAUUqQJW4bxjo,missing,256053,49,,0.329,0.529,2,-7.287,0,0.0313,0.637,0.0,0.317,0.197,174.909
Fallen,2003-03-04,2003,3UygY7qW2cvG9Llkay6i1i,going under,214946,69,,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077
Fallen,2003-03-04,2003,0COqiPhxzoWICwFCS4eZcp,bring me to life,235893,79,,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
Fallen,2003-03-04,2003,0tWEB6BxbI48XN79QE1JbT,everybody's fool,195880,63,,0.437,0.835,2,-5.076,0,0.0405,0.00145,2.27e-05,0.245,0.296,95.111
Fallen,2003-03-04,2003,4UzVcXufOhGUwF56HT7b8M,my immortal,262533,74,,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012
Fallen,2003-03-04,2003,6Z77oDcn6iI1MHFCBPjl24,haunted,185440,55,,0.364,0.861,4,-4.588,0,0.0617,0.00959,0.00449,0.107,0.16,155.672
Fallen,2003-03-04,2003,46fyLy4W9HhAkcb67kLaAV,tourniquet,278066,58,,0.204,0.898,4,-5.859,0,0.0938,0.00505,0.0107,0.31,0.14,98.943
Fallen,2003-03-04,2003,7q6CybWAg3uYLgS5tDWqmd,imaginary,256493,54,,0.399,0.747,4,-5.472,0,0.031,0.00681,0.00327,0.205,0.278,150.053
Fallen,2003-03-04,2003,5j7gLuOsBOyqooruGxX4nx,taking over me,228613,54,,0.476,0.796,9,-5.544,0,0.0335,0.0147,2.85e-05,0.0981,0.399,90.038
Fallen,2003-03-04,2003,0aYUqsvZG7bAslrUkd9Z0g,hello,220360,58,,0.416,0.178,11,-11.428,0,0.031,0.912,0.000138,0.342,0.0699,139.969
Fallen,2003-03-04,2003,2aUuMeSbt2aEv94MdG2BYS,my last breath,247333,53,,0.353,0.774,6,-5.862,0,0.0491,0.00135,0.000199,0.105,0.452,176.201
Fallen,2003-03-04,2003,1TU3KOnNwSERgNbF2Yzl7N,whisper,327333,52,,0.331,0.846,2,-5.702,0,0.0516,0.00689,9.43e-05,0.27,0.369,175.121
Fallen,2003-03-04,2003,3PYdxIDuBIuJSDGwfptFx4,my immortal   band version,273360,57,,0.367,0.34,9,-7.877,1,0.0306,0.755,1.56e-05,0.0868,0.0704,149.788
