song_title,lyrics
broken,"I wanted you to know I love the way you laugh. I wanna hold you high and steal your pain away. I keep your photograph; I know it serves me well. I wanna hold you high and steal your pain. Cause Im broken when I'm open. And I don't feel like I am strong enough. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away. The worst is over now and we can breathe again. I wanna hold you high, you steal my pain away. There's so much left to learn, and no one left to fight. I wanna hold you high and steal your pain. Cause Im broken when I'm open. And I dont feel like I am strong enough. Cause Im broken when I'm lonesome. And I dont feel right when you're gone away. Cause Im broken when I'm open. And I dont feel like I am strong enough. Cause Im broken when I'm lonesome. And I dont feel right when you're gone away"
forever gone forever you,"I wanted you to be with me. For so long I don't even know why now. But now that I've given up on you. Defiantly you see me. Walking away I see the pain. You put me through. Lost in your game to change the same. Forever gone, forever you. There's something very wrong about this. I think you knew all along. somehow. You'll only take me to change my mind. And leave me broken and defeated. So far away I see the truth. I see through you. Now that I know the way you play. I don't want to. Walking away I see the pain. You put me through. Lost in your game to change the same. Forever gone, forever you. So far away I see the truth. I see through you. Now that I know the way you play. I don't want to. Walking away I see the pain. You put me through. Lost in your game to change the same. Forever gone, forever you"
end of the dream,"I found a grave. Brushed off the face. Felt your light. And I remember why I know this place. I found a bird. Closing her eyes. One last time. And I wonder if she dreamed like me. Well, as much as it hurts,. Ain't it wonderful to feel?. So go on and bring your wings. Follow your heart. Till it bleeds. As we run towards the end of the dream. I'm not afraid. I push through the pain. And I'm on fire. I remember how to breathe again. As much as it hurts,. Ain't it wonderful to feel?. So go on and bring your wings. Follow your heart. Till it bleeds. As we run towards the end of the dream. Why must we fall apart to understand how to fly. I will find a way. Even without wings. Follow your heart. Till it bleeds. As we run towards the end of the dream. Follow your heart. Till it bleeds. And we've gone to the end of the dream"
anything for you,"I'd give anything to give me to you. Can you forget the world that you thought you knew. If you want me,. Come and find me. Nothing's stopping you. so please release me. I'll believe. All your lies. Just pretend you love me. Make believe. Close your eyes. I'll be anything for you. Have you left to make me feel anymore. There's only you and everyday I need more. If you want me. Come and find me. Ill do anything you say just tell me. I'll believe. All your lies. Just pretend you love me. Make believe. Close your eyes. I'll be anything for you. I'll believe. All your lies. Just pretend you love me. Make believe. Close your eyes. I'll be anything for you. Anything for you. All without your hurt inside. Will never never die. I'll be, everything you need. I'll believe. All your lies. Just pretend you love me. Make believe. Close your eyes. I'll be anything for you"
going under,now I will tell you what I've done for you. 50 thousand tears I've cried. screaming deceiving and bleeding for you. and you still won't hear me. don't want your hand this time I'll save myself. maybe I'll wake up for once. not tormented daily defeated by you. just when I thought I'd reached the bottom. I'm dying again. I'm going under. drowning in you. I'm falling forever. I've got to break through. I'm going under. blurring and stirring the truth and the lies. so I don't know what's real and what's not. always confusing the thoughts in my head. so I can't trust myself anymore. I'm dying again. I'm going under. drowning in you. I'm falling forever. I've got to break through. so go on and scream. scream at me I' m so far away. I won't be broken again. I've got to breathe I can't keep going under. I'm dying again. I'm going under. drowning in you. I'm falling forever. I've got to break through. I'm going under
restless,She embraced with a smile. As she opened the door. A cold wind blows. It puts a chill. Into her heart. You have taken away the trust. You're the ghost haunting through her heart. Past and present are one in her head. You're the ghost haunting through her heart. Take my hand as I wander through. All of my life I gave to you. Take my hand as I wander through. All of my love I gave to you. (killer guitar riff). You have taken away the trust. You're the ghost haunting through her heart. Past and present are one in her head. You're the ghost haunting through her heart. Lai lai lai la lai lai lai la lai lai lai lai lai la lai lai lai. Lai lai lai la lai. La la la lai. La la la lai. Take my hand as I wander through. All of my life I gave to you. Take my hand as I wander through. All of my love I gave to you. Lai la la. Lai la la. Lai lai lai. Lai la la. Lai la la. Lai lai lai
where will you go ep version,"You're too important for anyone.. There's something wrong with everything you see.. But I, I know who you really are.. You're the one who cries when you're alone.. Where will you go with no one left to save you from yourself?. You can't escape, you don't want to escape.. However did you manage to push away. every living thing you come across?. So afraid that anyone will hate you.. You pretend you hate them first.. And where will you go?. With no one left to save you from yourself.. You can't escape the truth.. I realize you're afraid.. But you can't refrain from everything.. You can't escape,. You can't escape.. I'm so sick of speaking words that no one understands.. Is it clear enough that you can't live your whole life all alone?. I can hear you when you whisper, but you can't even hear me screaming.. And where will you go?. With no one left to save you from yourself.. You can't escape the truth.. I realize you're afraid.. But you can't reject the whole world!. You can't escape.. You won't escape.. You can't escape.. You don't want to escape."
the last song im wasting on you,"Sparkling grey. Through my own veins. Any more than a whisper. Any sudden movement of my heart. And I know, I know I'll have to watch them pass away. Just get through this day. Give up your way, you could be anything,. Give up my way,. And lose myself,. Not today. That's too much guilt to pay. Sickened in the sun. You dare tell me you love me. But you held me down and screamed you wanted me to die. Honey you know, you know I'd never hurt you that way. You're just so pretty in your pain. Give up my way, and I could be anything. I'll make my own way. Without your senseless hate...hate...hate...hate. So run, run, run. And hate me, if it feels good. I can't hear your screams anymore. You lied to me. But I'm older now. And I'm not buying baby. Demanding my response. Don't bother breaking the door down. I found my way out. And you'll never hurt me again"
even in death,"Give me a reason to believe that you're gone. I see your shadow so I know they're all wrong. Moonlight on the soft brown earth. It leads me to where you lay. They took you away from me but now I'm taking you home. I will stay forever here with you, my love. The softly spoken words you gave me. Even in death our love goes on. Some say I'm crazy for my love, oh my love. But no bonds can hold me from your side, oh my love. They don't know you can't leave me. They don't hear you singing to me. I will stay forever here with you, my love. The softly spoken words you gave me. Even in death our love goes on. And I can't love you, anymore than I do"
haunting you,long lost words whisper slowly to me. still can't find what keeps me here. when all this time i've been so hollow inside. i know you're still there. watching me wanting me. i can feel you pull me down. fearing you loving you. i won't let you pull me down. hunting you i can smell you - alive. your heart pounding in my head. watching me wanting me. i can feel you pull me down. saving me raping me. watching me. watching me wanting me. i can feel you pull me down. fearing you loving you. i won't let you pull me down. 
made of stone,"Speak your mind. Like I care. I can see your lips moving. I've just learned not to hear. Don't waste your time. It's never enough for you baby. Don't want to play your game anymore. No matter what you say. I'm all out of love for you, baby. And now that I've tried everything. I'll numb the pain. 'Till I am made of stone. Take your time. I'm not scared. Make me everything you need me to be. So the judgment seems fair. Don't waste your time. It's never enough for you, baby. Don't want to play your game anymore. No matter what you say. I'm all out of love for you, baby. And now that I've tried everything. I'll numb the pain. 'Till I am made to. Tear out my heart. For the way that it feels. I will still remember when you've long forgotten me. It's never enough for you, baby. Don't want to play your game anymore. No matter what you say. I'm all out of love for you, baby. And now that I've tried everything. I'll numb the pain. 'Till I'm made of stone. It's never enough. It's never enough. It's never enough. I'll numb the pain. 'Till I am made of stone. I'll numb the pain. 'Till I am made of stone"
you,"The words have been drained from this pencil. Sweet words that I want to give you. And I can't sleep. I need to tell you. Goodnight. When we're together, I feel perfect. When I'm pulled away from you, I fall apart. All you say is sacred to me. Your eyes are so blue. I can't look away. As we lay in the stillness. You whisper to me. Amy, marry me. Promise you'll stay with me. Oh you don't have to ask me. You know you're all that I live for. You know I'd die just to hold you. Stay with you. Somehow I'll show you. That you are my night sky. I've always been right behind you. Now I'll always be right beside you. So many nights I cried myself to sleep. Now that you love me, I love myself. I never thought I would say this. I never thought there'd be. You"
away from me,"I hold my breath. as this life starts to take its toll. I hide behind a smile. as this perfect plan unfolds. But oh, God, I feel I've been lied to. Lost all faith in the things. I have achieved. And I. I've woken now to find myself. In the shadows of all I have created. I'm longing to be lost in you. (away from this place I have made). Won't you take me away from me. Crawling through this world as disease flows. through my veins. I look into myself, but my own heart has been changed. I can't go on like this. I loathe all I've become. I've woken now to find myself. In the shadows of all I have created. I'm longing to be lost in you. (away from this place I have made). Won't you take me away from me. Lost in a dying world. I reach for something more. I have grown so weary. of this lie I live. I've woken now to find myself. In the shadows of all I have created. I'm longing to be lost in you. (away from this place I have made). Won't you take me away from me"
good enough,"Under your spell again. I can't say no to you. Crave my heart and its bleeding in your hand. I can't say no to you. Shouldn't have let you torture me so sweetly. Now I can't let go of this dream. I can't breathe but I feel. Good enough. I feel good enough for you. Drink up sweet decadence. I can't say no to you. And I've completely lost myself and I don't mind. I can't say no to you. Shouldn't have let you conquer me completely. Now I can't let go of this dream. Can't believe that I feel. Good enough. I feel good enough. It's been such a long time coming, but I feel good. And I'm still waiting for the rain to fall. Pour real life down on me. Cause I can't hold on to anything this good. Enough. Am I good enough. For you to love me too?. So take care what you ask of me. Cause I can't say no"
sick,"Embrace the silence. Cause there's nothing that can change the way I feel. Taken all that you wanted. Now there's nothing that can change the way I feel. Hold on, little girl. Cause the end is soon to come. Sick of it all, Sick of it all. We will not follow. Sick of it all, Sick of it all. They don't understand how. Sick we are, Sick we are. Of this bottomless pit of lies. Behind closed eyes. Oceans between us. And there's nothing that can change the way I feel. I can still taste the poison. Every fall, every breath are ways to heal. Hold on, little girl. The end is soon to come. Sick of it all, Sick of it all. We will not follow. Sick of it all, Sick of it all. They don't understand how. Sick we are, Sick we are. Of this bottomless pit of lies. Behind closed eyes. Someday you'll know the feeling. Someday I will break through. And nothing you tell yourself. Will save us from the truth. Screaming out. Sick of it all, Sick of it all. We will not follow. Sick of it all, Sick of it all. They don't understand how. Sick we are, Sick we are. Of this bottomless pit of lies. Behind closed eyes"
the other side,Make me whole again. Open your eyes. Taunted by the shadows. Of your lie. Cold and far away. Like you're not even mine. Undo everything. And take me. Higher. Never believing what they say. Cause I'm. Counting the days. To meet you on the other side. I will always be. Waiting. Until the day that I see you. On the other side. Come and take me home. I'm not giving in. I want you back. Holding together by the shards of our past. Stole my heart away. I can't let you go. Break these chains. And let me fly to you. High above the world below. Over and over in my mind. Counting the days. To meet you on the other side. I will always be. Waiting. Until the day that I see you. On the other side. Come and take me home. I am so lost without my place. Inside your heart. I won't survive. I need to know you hear me. Awaken and release my love. Counting the days. To meet you on the other side. I will always be. Waiting. Until the day. That I see you on the other side. Come and take me. Counting the days. To meet you on the other side. I will always be. Waiting. Until the day that I see you. On the other side. Come and take me home
weight of the world,"Feels like the weight of the world. Like God in heaven gave me a turn. Don't cling to me, I swear I can't fix you. Still in the dark, can you fix me?. Freefall, freefall, all through life. If you love me, then let go of me. I wont be held down by who I used to be. She's nothing to me. Feels like the weight of the world. Like all my screaming has gone unheard. And oh I know you don't believe in me. Safe in the dark, how can you see?. Freefall, freefall, all through life. If you love me, then let go of me. I wont be held down by who I used to be"
haunted,long lost words whisper slowly to me. still can't find what keeps me here. when all this time I've been so hollow inside. I know you're still there. watching me wanting me. I can feel you pull me down. fearing you loving you. I won't let you pull me down. hunting you I can smell you - alive. your heart pounding in my head. watching me wanting me. I can feel you pull me down. saving me raping me. watching me
imaginary,"Paper flowers, paper flowers.... I linger in the doorway. Of alarm clock screaming monsters calling my name. Let me stay. Where the wind will whisper to me. Where the raindrops as they're falling tell a story. In my field of paper flowers. And candy clouds of lullaby. I lie inside myself for hours. And watch my purple sky fly over me. Don't say I'm out of touch. With this rampant chaos - your reality. I know well what lies beyond my sleeping refuge. The nightmare i built my own world to escape. In my field of paper flowers. And candy clouds of lullaby. I lie inside myself for hours. And watch my purple sky fly over me. Swallowed up in the sound of my screaming. Cannot cease for the fear of silent nights. Oh how i long for the deep sleep dreaming. The goddess of imaginary light. Paper flowers, paper flowers"
wash it all away,"""You hold the answers deep within your own mind.. Consciously, you've forgotten it.. That's the way the human mind works.. Whenever something is too unpleasant, too shameful for us. to entertain, we reject it.. We erase it from our memories.. But the answer is always there."". (Can't wash it all away). (Can't wish it all away). (Can't hope it all away). (Can't cry it all away). The pain that grips you. The fear that binds you. Releases life in me. In our mutual. Shame we idolize. To blind them from the truth. That finds a way from who we are. Please don't be afraid. When the darkness fades away. The dawn will break the silence. Screaming in our hearts. My love for you still grows. This I do for you. Before I try to fight the truth. my final time. ""We're supposed to try and be real.. And I feel alone, and we're not together. And that is real."". Can't wash it all away. Can't wish it all away. Can't cry it all away. Can't scratch it all away. Lying beside you. Listening to you breathe. The life that flows inside of you. Burns inside of me. Hold and speak to me. Of love without a sound. Tell me you will live through this. And I will die for you. Cast me not away. Say you'll be with me. For I know I cannot. Bear it all alone. ""You're not alone, are you?"". ""Never... Never."". Can't fight it all away. Can't hope it all away. Can't scream it all away. It just won't fade away, No. Can't wash it all away. Can't wish it all away. Can't cry it all away. Can't scratch it all away. (Can't fight it all away). (Can't hope it all away). Can't scream it all away. Ooh, it all away. Ooh, it all away. ""But the answer is always there. Nothing is ever really forgotten."". ""Because I'm tired of it too."". ""Because I'm tired of it too."". ""Because I'm tired of it too."". ""Because I'm tired of it too."". ""Because I'm tired of it too."""
missing,"Please, please forgive me,. But I won't be home again.. Maybe someday you�ll have woke up,. And, barely conscious, you'll say to no one:. ""isn't something missing? "". You won't cry for my absence, I know -. You forgot me long ago.. Am I that unimportant...?. Am I so insignificant...?. Isn't something missing?. Isn't someone missing me?. Even though I'd be sacrificed,. You won't try for me, not now.. Though I'd die to know you love me,. I'm all alone.. Isn't someone missing me?. Please, please forgive me,. But I won't be home again.. I know what you do to yourself,. Shudder deep and cry out:. ""isn't something missing?. Isn't someone missing me? "". Even though I'd be sacrificed,. You won't try for me, not now.. Though I'd die to know you love me,. I'm all alone.. Isn't someone missing me?. And if I bleed, I'll bleed,. Knowing you don�t care.. And if I sleep just to dream of you. And wake without you there,. Isn't something missing?. Isn't something.... Even though I'd be sacrificed,. You won't try for me, not now.. Though I'd die to know you love me,. I'm all alone.. Isn't someone missing me?"
you dont have to cry,come to me. i say come to me. mama will help you. i will help you always. horus:. you don't have to cry. i will always be with you. you don't have to cry. cause i'm the one for you. something said that you don't love me. but i don't care as long as you don't hate me. you're my little angel. for alwaaaaaaaaaaays. horus:. you don't have to cry. i will always be with you. you don't have to cry. cause i'm the one for you. you're my angel. my angel. my angeeeeeeel. horus:
breathe no more,"I've been looking in the mirror for so long.. That I've come to believe my soul's on the other side.. Oh the little pieces falling, shatter.. Shards of me,. Too sharp to put back together.. Too small to matter,. But big enough to cut me into so many little pieces.. If I try to touch her,. And I bleed,. I bleed,. And I breathe,. I breathe no more.. Take a breath and I try to draw from my spirits well.. Yet again you refuse to drink like a stubborn child.. Lie to me,. Convince me that I've been sick forever.. And all of this,. Will make sense when I get better.. I know the difference,. Between myself and my reflection.. I just can't help but to wonder,. Which of us do you love.. So I bleed,. I bleed,. And I breathe,. I breathe now.... Bleed,. I bleed,. And I breathe,. I breathe,. I breathe-. I breathe no more."
call me when youre sober,Don't cry to me. If you loved me. You would be here with me. You want me. Come find me. Make up your mind. Should I let you fall?. Lose it all?. So maybe you can remember yourself. Can't keep believing. We're only deceiving ourselves. And I'm sick of the lie. And you're too late. Don't cry to me. If you loved me. You would be here with me. You want me. Come find me. Make up your mind. Couldn't take the blame. Sick with shame. Must be exhausting to lose your own game. Selfishly hated. No wonder you're jaded. You can't play the victim this time. And you're too late. So don't cry to me. If you loved me. You would be here with me. You want me. Come find me. Make up your mind. You never call me when you're sober. You only want it cause it's over. It's over. How could I have burned paradise?. How could I - you were never mine. So don't cry to me. If you loved me. You would be here with me. Don't lie to me. Just get your things. I've made up your mind
hello,"Playground school bell rings again.. Rain clouds come to play again.. Has no one told you she's not breathing?. Hello, i'm your mind giving you someone to talk to, hello.. If i smile and don't believe soon I know i'll wake from this dream.. Don't try to fix me, i'm not broken.. Hello, i'm the lie living for you so you can hide. Don't cry.. Suddenly i know i'm not sleeping.. Hello, i'm still here.. All that's left of yesterday"
fields of innocence,I still remember the world. From the eyes of a child. Slowly those feelings. Were clouded by what I know now. Where has my heart gone. An uneven trade for the real world. oh I.... I want to go back to. Believing in everything and knowing nothing at all. I still remember the sun. Always warm on my back. Somehow it seems colder now. Where has my heart gone. Trapped in the eyes of a stranger. oh why.... I want to go back to. Believing in everything. Where has my heart gone. An uneven trade for the real world. oh I.... I want to go back to. Believing in everything and knowing nothing at all. Where has my heart gone. Trapped in the eyes of a stranger. oh why.... I want to go back to. Believing in everything
give unto me,I've been watching you from a distance. The distance sees through your disguise. All I want from you is your hurting. I want to heal you. I want to save you from the dark. Give unto me your troubles. I'll endure your suffering. Place onto me your burden. I'll drink your deadly poison. Why should I care if they hurt you?. Somehow it matters more to me. Than if I were hurting myself. Save you (save you). I'll save you. Fear not the flame of my love's candle. Let it be the sun in your world of darkness. Give unto me all that frightens you. I'll have your nightmares for you. If you sleep soundly. Give unto me your troubles. I'll endure your suffering. Place onto me your burden. I'll drink your deadly poison. Fear not the flame of my love's candle. Let it be the sun in your world of darkness
sweet sacrifice,"It's true, we're all a little insane. But it's so clear. Now that I'm unchained. Fear is only in our minds. Taking over all the time. Fear is only in our minds but its taking over all the time. You poor sweet innocent thing. Dry your eyes and testify. You know you live to break me - don't deny. Sweet sacrifice. One day I'm gonna forget your name. And one sweet day, you're gonna drown in my lost pain. Fear is only in our minds. Taking over all the time. Fear is only in our minds but its taking over all the time. You poor sweet innocent thing. Dry your eyes and testify. And oh, you love to hate me, don't you, honey?. I'm your sacrifice.. I dream in darkness. I sleep to die. Erase the silence. Erase my life. Our burning ashes. Blacken the day. A world of nothingness. Blow me away. Do you wonder why you hate?. Are you still too weak to survive your mistakes?. You poor sweet innocent thing. Dry your eyes and testify. You know you live to break me - don't deny. Sweet sacrifice"
anywhere,"Dear my love, haven't you wanted to be with me. And dear my love, haven't you longed to be free. I can't keep pretending that I don't even know you. And at sweet night, you are my own. Take my hand. We're leaving here tonight. There's no need to tell anyone. They'd only hold us down. So by the morning light. We'll be half way to anywhere. Where love is more than just your name. I have dreamt of a place for you and I. No one knows who we are there. All I want is to give my life only to you. I've dreamt so long I cannot dream anymore. Let's run away, I'll take you there. We're leaving here tonight. There's no need to tell anyone. They'd only hold us down. So by the morning light. We'll be half way to anywhere. Where love is more than just your name. Forget this life. Come with me. Don't look back you're safe now. Unlock your heart. Drop your guard. No one's left to stop you. Forget this life. Come with me. Don't look back you're safe now. Unlock your heart. Drop your guard. No one's left to stop you. We're leaving here tonight. There's no need to tell anyone. They'd only hold us down. So by the morning light. We'll be half way to anywhere. Where love is more than just your name"
lacrymosa,"Out on your own. Cold and alone again. Can this be what you really wanted, baby?. Blame it on me. Set your guilt free. Nothing can hold you back now. Now that you're gone. I feel like myself again. Grieving the things I can't repair and willing.... To let you blame it on me. And set your guilt free. I don't want to hold you back now love. I can't change who I am. Not this time, I won't lie to keep you near me. And in this short life, there's no time to waste on giving up. My love wasn't enough. And you can blame it on me. Just set your guilt free, honey. I don't want to hold you back now love"
secret door,"Turn out the lights. Feed the fire till my soul breathes free. My heart is high as the waves above me. Don't need to understand. Too lost to lose. Don't fight my tears, cuz they feel so good. And I, I will remember how to fly. Unlock the heavens in my mind. Follow my love back through the same secret door. Look past the end. It's a dream, as it's always been. All life lives on if we've ever loved it. And I, I will remember how to fly. Unlock the heavens in my mind. Follow my love back through the same secret door"
angel of mine,"You are everything I need to see. Smile and sunlight makes sunlight to me. Laugh and come and look into me. Drips of moonlight washing over me. Can I show you what you are for me. Angel of mine, let me I thank you. You have saved me time and time again. Angel, I must confess. It's you that always gives me strength. And I don't know where I'd be without you. After all these years, one thing is true. Constant force within my heart is you. You touch me, I feel I'm moving into you. I treasure every day I spend with you. All the things I am come down to you. Angel of mine. Let me thank you. You have saved me time and time again. Angel, I must confess. It's you that always gives me strength. And I don't know where I'd be without you. Back in the arms of my angel. Back to the peace that I so love. Back in the arms of my angel I can finally rest. Giving you a gift that you remind me"
i believe in you,"You don't remember me. But I remember you. I lie awake. And try so hard to not think of you. But who can decide what they dream. And dream I do. I believe in you. I`ll give up everything. Just to find you. I have to be with you. To live, to breathe. You`re taking over me. Have you forgotten. All I know. And all we had. You saw me mourning my love for you. And touched my hand. I knew you loved me then. I believe in you. I'll give up everything. Just to find you. I have to be with you. To live, to breathe. You're taking over me. I look in the mirror and see your face. If I look deep enough. So many things inside that are. Just like you are taking over. I believe in you. I'll give up everything. Just to find you. I have to be with you. To live, to breathe. You're taking over me. I believe in you. I'll give up everything for you. Just to find you. I have to be with you. To live to breathe. You're taking over me. You're taking over me. You're taking over me"
never go back,"Everything is so dark. And I know there's something wrong. But I, can't turn the light on. In that split second change. When you knew we couldn't hold on. I realized I lived to love you. Save yourself. Don't look back. Tearing us apart until it's all gone. The only world I've ever known sleeps beneath the waves. But I remember. I won't give up on you. I can feel you in my heart, just show me the way. I don't belong here. Alone. I can still see your face. Where it's burned into my mind. I die every time. I close my eyes, you're always there. Save yourself. Don't look back. Tearing us apart until it's all gone. The only world I've ever known sleeps beneath the waves. But I'm the one who's drowning. Without your love. I am lost and I can never go back home. All across the ocean. We are calling, calling. Are you there. Nothing left for me till I find you because it's. All gone. The only world I've ever known sleeps beneath the waves. But I'm the one who's drowning. Without your love. I am lost and I can never go back. I can never go back home"
zero,"My reflection, dirty mirror. There's no connection to myself. I'm your lover, I'm your zero. I'm in the face of your dreams of glass. So save your prayers. For when we're really gonna need'em. Throw out your cares and fly. Wanna go for a ride?. She's the one for me. She's all I really need. Cause she's the one for me. Emptiness is loneliness,. and loneliness is cleanliness. And cleanliness is godliness,. And god is empty just like me. You never believe. Intoxicated with the madness. I'm in love with my sadness. Bullshit fakers, enchanted kingdoms. The fasion victims chew their charcoal teeth. I never let on. That I was on a sinking ship. I never let on that I was down. You blame yourself. For what you can't ignore. You blame yourself for wanting more. She's the one for me. She's all I really need. She's the one for me. She's my one and only"
your star,"I can't see your star. I can't see your star. Though I patiently waited, bedside. For the death of today. I can't see your star. The mechanical lights of Lisbon. Frightened it away. And I'm alone now. Me and all I stood for. We're wandering now. All in parts, in pieces, swim lonely. Find your own way out. I can't see your star. I can't see your star. How can the darkness feel so wrong?. And I'm alone now. Me and all I stood for. We're wandering now. All in parts, in pieces, swim lonely. Find your own way out. So far away. It's growing colder without your love. Why can't you feel me calling your name?. Can't break the silence. It's breaking me. All my fears turn to rage. And I'm alone now. Me and all I stood for. We're wandering now. All in parts, in pieces, swim lonely. Find your own way out. Nothing worth fighting for. We're wandering now. All in parts, in pieces, swim lonely. Find your own way out"
lies,"Bound at every limb by my shackles of fear. Sealed with lies through so many tears. Lost from within, pursuing the end. I fight for the chance to be lied to again. You will never be strong enough. You will never be good enough. You were never conceived in love. You will not rise above. They'll never see. I'll never be. I'll struggle on and on to feed this hunger. Burning deep inside of me. But through my tears breaks a blinding light. Birthing a dawn to this endless night. Arms outstretched, awaiting me. An open embrace upon a bleeding tree. Rest in me and I'll comfort you. I have lived and I died for you. Abide in me and I vow to you. I will never forsake you. They'll never see. I'll never be. I'll struggle on and on to feed this hunger. Burning deep inside of me. They'll never see. I'll never be. I'll struggle on and on to feed this hunger. Burning deep inside of me"
like you,"Stay low. Soft, dark, and dreamless. Far beneath my nightmares and loneliness. I hate me. For breathing without you. I don't want to feel anymore for you. Grieving for you. I'm not grieving for you. Nothing real love can't undo. And though I may have lost my way. All paths lead straight to you. I long to be like you. Lie cold in the ground like you. Halo. Blinding wall between us. Melt away and leave us alone again. Humming, haunted somewhere out there. I believe our love can see us through in death. I long to be like you. Lie cold in the ground like you. There's room inside for two and I'm not grieving for you. I'm coming for you. You're not alone. No matter what they told you you're not alone. I'll be right beside you forevermore. I long to be like you, sis. Lie cold in the ground like you're dead. There's room inside for two and I'm not grieving for you. And as we lay in silent bliss. I know you remember me. I long to be like you. Lie cold in the ground like you. There's room inside for two and I'm not grieving for you. I'm coming for you"
where will you go,"You're too important for anyone. You play the role of all you long to be. But I, I know who you really are. You're the one who cries when you're alone. But where will you go. With no one left to save you from yourself. You can't escape. You can't escape. You think that I can't see right through your eyes. Scared to death to face reality. No one seems to hear your hidden cries. You're left to face yourself alone. But where will you go. With no one left to save you from yourself. You can't escape. You can't escape. I realize you're afraid. But you can't abandon everyone. You can't escape. You don't want to escape. I'm so sick. of speaking words that no one understands. Is it clear enough that you can't live. your whole life all alone. I can hear you in a whisper. But you can't even hear me screaming. But where will you go. With no one left to save you from yourself. You can't escape. You can't escape. I realize you're afraid. But you can't reject the whole world. You can't escape. You won't escape. You can't escape. You don't want to escape"
the last day,"I've spent so much time throwing rocks at your window. That I never even knocked on the front door. I walk by statues never even made one chip. But if I could leave a mark on the monument of the heart. I just might lay myself down for a little more than I had the last day. The last day, the last day, the last day. Wait a time to spare these lies we tell ourselves. These days have come and gone. But this time is sweeter than honey"
goodnight,"Goodnight, sleep tight. No more tears. In the morning, I'll be here. And when we say goodnight,. Dry your eyes. Because we said goodnight,. And now goodbye. We said goodnight. And now goodbye"
understanding wash it all away,"You hold the answer deep within your own mind.. Consciously you've forgotten it.. That's the way the human mind works.. Whenever something is too unpleasant,. too shameful for us to entertain we reject it,. we erase it from our memory,. but the imprint is always there.. We wash it all away,. we wish it all away,. we hope it all away,. can't cry it all away.. The pain that grips you. The fear that binds you. Releases life in me. In our mutual shame we hide our eyes. To blind them from the truth. that finds a way to who we are. Please don't be afraid. When the darkness fades away. The dawn will break the silence. screaming at our hearts. My love for you still grows. This I do for you. Before I try to fight the truth. my final time. We're supposed to try to be real.. We feel alone when we're not together,. and that is real.. Can't wash it all away. Can't wish it all away. Can't cry it all away. Can't scratch it all away. Lying beside you. Listening to you breathe. The light that flows inside of you. burns inside of me. Hold and speak to me. Of love without a sound. Tell me you will live through this. and I will die for you. Cast me not away. Say you'll be with me. For I know I cannot bear it all alone. You're not alone, honey, Never. Never.. Can't fight it all away. Can't hope it all away. Can't scream it all away. It just won't fade away. Can't wash it all away. Can't wish it all away can't can't can't. Can't throw it all away. Can't scratch it all away. Can't fight it all away. Can't hope it all away. Can't scream it all away. Oh get it all away. Oh get it all away. But the imprint is always there,. nothing is ever really forgotten. Because I'm dying too,. because I'm dying too,. because I'm dying too,. because I'm dying too,. because I'm dying too"
my last breath,"Hold on to me, love. You know I can't stay long,. All I wanted to say was. I love you and I'm not afraid, aaah. Can you hear me?. Can you feel me in your arms?. Holding my last breath. Safe inside myself. Are all my thoughts of you. Sweet raptured light - it ends here tonight. I'll miss the winter. A world of fragile things. Look for me in the white forest. Hiding in a hollow tree (come find me). I know you hear me. I can taste it in your tears!. Holding my last breath. Safe inside myself. Are all my thoughts of you. Sweet raptured light - it ends here tonight. Closing your eyes to disappear. You pray your dreams will leave you here. But still you wake and know the truth. No one's there. Say goodnight. Don't be afraid. Calling me, calling me as you fade to black. (Say goodnight). Holding my last breath. (don't be afraid). Safe inside myself. (calling me, calling me). Are all my thoughts of you. Sweet raptured light it ends here tonight. (Holding my last breath). (Safe inside myself). (Are all my thoughts of you). (Sweet raptured light - it ends here tonight). (Holding my last breath)"
fall into you,"Since you've been gone i've been alone. feeling untied and free. no more crying on the phone. no more slavery. end of the misery i'm breaking free. since you've been gone things have come so clear to me. just wanna shout cause i'm able to breathe. ooooooh, since you've been gone i've been free. since we crashed and fell apart. we've been history. since we trashed this dying love. no more agony, no. end of the misery i'm breaking free. since you've been gone things have come so clear to me. just wanna shout cause i'm able to breathe. ooooooh, since you've been gone i've been free. since you've been gone things have come so clear to me. just wanna shout cause i'm able to breathe. since you've been gone things have come so clear to me. just wanna shout cause i'm able to breathe. ooooooh, since you've been gone i've been free. ooooooh, since you've been gone i've been. ooooooh, i've been free. ooooooh, things have come clear to me. ooooooh, i'm free. . since you've been gone i've been alone. "
forgive me,"Can you forgive me again?. I don't know what I said. But I didn't mean to hurt you. I heard the words come out. I felt like I would die. It hurt so much to hurt you. Then you look at me. You're not shouting anymore. You're silently broken. I'd give anything now. to kill those words for you. Each time I say something I regret I cry. ""I don't want to lose you."". But somehow I know that you will never leave me, yeah.. 'Cause you were made for me. Somehow I'll make you see. How happy you make me. I can't live this life. Without you by my side. I need you to survive. So stay with me. You look in my eyes and I'm screaming inside. that I'm sorry.. And you forgive me again. You're my one true friend. And I never meant to hurt you"
